Query,Category
Can passenger’s seat heating be set to high level?,Traditional Vehicle
Can passenger’s seat heating be turned up a bit?,Traditional Vehicle
Can right rear seat heating be turned off?,Traditional Vehicle
Can right rear seat heating be set to medium level?,Traditional Vehicle
Can driver’s seat heating auto turn on?,Traditional Vehicle
Can driver’s seat heating auto turn off?,Traditional Vehicle
Can driver’s seat heating adjust levels?,Traditional Vehicle
Can driver’s seat heating be set to medium?,Traditional Vehicle
Can driver’s seat heating be set to high?,Traditional Vehicle
Can passenger’s seat heating be set to low?,Traditional Vehicle
Can passenger’s seat heating auto turn on?,Traditional Vehicle
Can passenger’s seat heating auto turn off?,Traditional Vehicle
Can passenger’s seat heating adjust levels?,Traditional Vehicle
Can rear seat heating adjust levels?,Traditional Vehicle
Can rear seat heating be set to medium?,Traditional Vehicle
Can rear seat heating be set to high?,Traditional Vehicle
Can rear seat heating be set to low?,Traditional Vehicle
Can right rear seat heating auto turn on?,Traditional Vehicle
Can left rear seat heating auto turn off?,Traditional Vehicle
Can driver’s seat heating be lowered a little?,Traditional Vehicle
Can passenger’s seat heating be raised a bit?,Traditional Vehicle
Can driver’s seat heating switch level?,Traditional Vehicle
Can passenger’s seat heating switch to medium?,Traditional Vehicle
Can right rear seat heating be turned on?,Traditional Vehicle
Can left rear seat heating be turned off?,Traditional Vehicle
Can driver’s seat ventilation be turned on?,Traditional Vehicle
Can passenger’s seat ventilation be turned on?,Traditional Vehicle
Can driver’s seat ventilation be turned off?,Traditional Vehicle
Can passenger’s seat ventilation be turned off?,Traditional Vehicle
Can driver’s seat ventilation be set to high?,Traditional Vehicle
Can passenger’s seat ventilation be set to medium?,Traditional Vehicle
Can rear seat ventilation be turned on?,Traditional Vehicle
Can rear seat ventilation be turned off?,Traditional Vehicle
Can rear seat ventilation be set to low?,Traditional Vehicle
Can rear seat ventilation be set to high?,Traditional Vehicle
Can driver’s seat ventilation auto turn on?,Traditional Vehicle
Can passenger’s seat ventilation auto turn off?,Traditional Vehicle
Can rear seat ventilation auto turn on?,Traditional Vehicle
Can steering wheel heating adjust levels?,Traditional Vehicle
Can steering wheel heating auto turn on?,Traditional Vehicle
Can steering wheel heating auto turn off?,Traditional Vehicle
Can steering wheel heating switch to medium?,Traditional Vehicle
Can steering wheel heating be set to highest level?,Traditional Vehicle
Can steering wheel heating be set to lowest level?,Traditional Vehicle
Can steering wheel heating be turned on?,Traditional Vehicle
Can steering wheel heating be turned off?,Traditional Vehicle
Can steering wheel heating be increased a bit?,Traditional Vehicle
Can steering wheel heating be decreased a bit?,Traditional Vehicle
Can steering wheel heating be restored to default?,Traditional Vehicle
Can rear defogger be turned on?,Traditional Vehicle
Can rear defogger be turned off?,Traditional Vehicle
Can front defogger auto turn on?,Traditional Vehicle
Can front defogger auto turn off?,Traditional Vehicle
Can mirror heating be turned on?,Traditional Vehicle
Can mirror heating be turned off?,Traditional Vehicle
Can mirror heating auto turn on?,Traditional Vehicle
Can mirror heating auto turn off?,Traditional Vehicle
Can air purification be turned on?,Traditional Vehicle
Can air purification be turned off?,Traditional Vehicle
Can air purification be increased?,Traditional Vehicle
Can air purification be set to auto?,Traditional Vehicle
What model is my car?,Car Assitant
Which year and version is this car?,Car Assitant
When was this car manufactured?,Car Assitant
What is the trunk capacity?,Car Assitant
What is the total vehicle length?,Car Assitant
What is the overall width?,Car Assitant
What is the total height?,Car Assitant
What is the wheelbase?,Car Assitant
What are the front and rear track widths?,Car Assitant
What is the curb weight?,Car Assitant
What is the fully loaded weight?,Car Assitant
What is the minimum ground clearance?,Car Assitant
What are the tire specifications?,Car Assitant
What is the standard cold tire pressure?,Car Assitant
What is the front headroom?,Car Assitant
What is the front legroom?,Car Assitant
What is the rear headroom?,Car Assitant
What is the rear legroom?,Car Assitant
How many degrees can the second-row seatback recline?,Car Assitant
What is the glovebox size?,Car Assitant
What is the cupholder size?,Car Assitant
How much can the in-car storage box hold?,Car Assitant
How tall an item can the trunk hold?,Car Assitant
What is the sunroof opening size?,Car Assitant
What is the size of the exterior mirrors?,Car Assitant
What is the battery capacity?,Car Assitant
How is the high-voltage battery pack recycled?,Car Assitant
What are the precautions for using the 12V battery?,Car Assitant
How to operate slow charging,Car Assitant
What information can the instrument cluster display,Car Assitant
How to replace the battery of the smart key,Car Assitant
What to pay attention to in shifting operations,Car Assitant
In which situations does the airbag not deploy,Car Assitant
How to adjust the air conditioning temperature,Car Assitant
In what situations will the camera be affected,Car Assitant
What steps to follow for jump starting,Car Assitant
How to replace the fuse,Car Assitant
What are the parameters of the high-voltage battery pack,Car Assitant
What is the standard tire pressure when cold,Car Assitant
What data does the EDR system record,Car Assitant
How to initialize the sunroof settings,Car Assitant
What modes are there for energy recovery,Car Assitant
What fixing methods are there for child seats,Car Assitant
What precautions for OTA upgrades,Car Assitant
How to use 360 panoramic imaging,Car Assitant
What steps for tire repair,Car Assitant
What specification requirements for engine oil,Car Assitant
What is the smart charging function,Car Assitant
What requirements for the storage card in the dash cam,Car Assitant
What types of driving modes are there,Car Assitant
How to properly wear the seat belt,Car Assitant
How to wake up the voice assistant,Car Assitant
How to activate adaptive cruise control,Car Assitant
How to use the fire extinguisher when the vehicle catches fire,Car Assitant
What does tire inspection include,Car Assitant
What factors affect the driving range,Car Assitant
What operation requirements for phone wireless charging,Car Assitant
What requirements for fuel,Car Assitant
How to adjust the headrest,Car Assitant
What is the function of the air conditioning filter,Car Assitant
Where is the driving assistance radar installed,Car Assitant
How to disconnect the high-voltage system,Car Assitant
What to pay attention to in airbag repair and replacement,Car Assitant
What are the main parameters of the drive motor,Car Assitant
What requirements for storing the high-voltage battery pack,Car Assitant
How to operate one-touch window up,Car Assitant
How does electric power steering fault warn,Car Assitant
How to enable child protection lock,Car Assitant
How to adjust the air direction of the vents,Car Assitant
What is the speed limit assistance function,Car Assitant
What to pay attention to in vehicle towing,Car Assitant
How to check and add coolant,Car Assitant
What recommended fluids are there,Car Assitant
What requirements for ambient temperature in hybrid vehicles,Car Assitant
How to operate the hazard warning lights,Car Assitant
What does the vehicle stability control system include,Car Assitant
How to electrically adjust the front seats,Car Assitant
What settings does the smart display have,Car Assitant
How does automatic parking assist work,Car Assitant
How to disconnect the manual service switch during rescue,Car Assitant
How to replace the front windshield wiper blades,Car Assitant
What parameters does the brake pedal have,Car Assitant
What is the maximum speed of my car,Car Assitant
How long does 0-100km/h acceleration take,Car Assitant
What is the capacity of the high-voltage battery pack,Car Assitant
What is the maximum power of the drive motor,Car Assitant
What is the maximum torque of the drive motor,Car Assitant
What is the maximum power of the engine,Car Assitant
How long does fast charging to 80% take,Car Assitant
What is the driving range,Car Assitant
What specifications for recommended engine oil,Car Assitant
What type is the brake pedal friction pair,Car Assitant
How to open the sunroof,Car Assitant
What are the dimensions of this car,Car Assitant
What does the red sword-backed little man on the dashboard mean,Car Assitant
What to do if the steering wheel won't turn,Car Assitant
What to pay attention to in vehicle maintenance,Car Assitant
What is the function of ABS,Car Assitant
What is the use of airbags,Car Assitant
What does ECO mean,Car Assitant
How to pair Bluetooth,Car Assitant
Can my phone connect to two Bluetooth devices at the same time,Car Assitant
Which phone models does the car Bluetooth support,Car Assitant
Can the volume adjust automatically,Car Assitant
Where to set the sound effect mode,Car Assitant
How to switch the playback source,Car Assitant
Can I use phone hotspot for car system internet,Car Assitant
Does the car navigation need internet to use,Car Assitant
Can the display brightness adjust automatically,Car Assitant
How to switch to night mode,Car Assitant
Where is the split screen function,Car Assitant
Can the car system be reset to factory settings,Car Assitant
Will data be cleared after factory reset,Car Assitant
How to update the system version,Car Assitant
Does the car system support wireless upgrades,Car Assitant
Are sound adjustment and navigation volume separate,Car Assitant
What to do if Bluetooth can't connect,Car Assitant
Can the car system connect to Bluetooth headphones at the same time,Car Assitant
Where is the factory settings in the menu,Car Assitant
Can the map view be changed to 3D,Car Assitant
How to switch between day and night mode,Car Assitant
Can I view real-time traffic conditions,Car Assitant
Can I directly input the address,Car Assitant
Will route planning automatically recommend,Car Assitant
Is there a cruise mode,Car Assitant
What information can the navigation panel display,Car Assitant
How to set to avoid restricted roads,Car Assitant
Can I set to avoid highways,Car Assitant
Will traffic events be reminded in real time,Car Assitant
Can navigation add waypoints,Car Assitant
What is car wash promotion,Car Assitant
How to set fuel reminder,Car Assitant
What is the movie recommendation function,Car Assitant
Can the car system recommend insurance services,Car Assitant
How to open parking recommendation function,Car Assitant
What is the road book recommendation function,Car Assitant
Can food recommendations choose tastes,Car Assitant
Does scenic spot recommendation support voice broadcast,Car Assitant
How to create a convoy,Car Assitant
Can the team's destination be modified,Car Assitant
How to share my location,Car Assitant
How to use real-time intercom,Car Assitant
What content can be seen in team information,Car Assitant
Are team voice messages real-time,Car Assitant
How do friends join the convoy,Car Assitant
Can the travel team be disbanded,Car Assitant
Can intercom voice be saved,Car Assitant
How to sync contacts,Car Assitant
Will the address book update automatically,Car Assitant
Are contacts synced in real-time with the phone,Car Assitant
Can I sync only part of the contacts,Car Assitant
How to view contacts,Car Assitant
Can contacts be sorted by pinyin,Car Assitant
Can the car system store contacts,Car Assitant
Where to view call records,Car Assitant
How long can call records be saved,Car Assitant
Can I delete call records,Car Assitant
Will call records sync with the phone,Car Assitant
Will the car system display missed calls,Car Assitant
Will contact avatars display,Car Assitant
Can I search for contacts,Car Assitant
How long does address book import take,Car Assitant
Can contacts be exported,Car Assitant
Does the car system support business card holder,Car Assitant
Can call records be sorted by time,Car Assitant
Can contacts set speed dial,Car Assitant
What to do if contact sync fails,Car Assitant
Can the car system do karaoke,Car Assitant
Does karaoke need internet,Car Assitant
Can I connect a microphone to sing,Car Assitant
Does the car system come with accompaniment,Car Assitant
How to find radio channels,Car Assitant
What is the difference between FM and internet radio,Car Assitant
Can music be downloaded locally,Car Assitant
Can playlists be saved,Car Assitant
Can news be customized subscribed,Car Assitant
Is news updated in real time,Car Assitant
What format for USB music,Car Assitant
Can songs in USB be recognized,Car Assitant
Can USB video be played directly,Car Assitant
What video formats are supported,Car Assitant
Can USB playback resume from breakpoint,Car Assitant
Can music display lyrics,Car Assitant
Does the player support random playback,Car Assitant
Can I listen to music while navigating,Car Assitant
What to do if radio signal is poor,Car Assitant
How to connect CarLife,Car Assitant
Does CarLife need data cable,Car Assitant
Can CarLife use wireless connection,Car Assitant
Does CarLife support Android phones,Car Assitant
How to connect CarPlay,Car Assitant
Can CarPlay only use Apple phones,Car Assitant
Can CarPlay be wireless,Car Assitant
Can CarPlay display maps,Car Assitant
What is HiCar,Car Assitant
Which phones does HiCar support,Car Assitant
How to screen cast with HiCar,Car Assitant
Can HiCar control the car system,Car Assitant
After starting the driver's seat massage,Car Assitant
Passenger seat ventilation on but no air,Traditional Vehicle
Play a classic old song,Traditional Vehicle
Passenger seat leg rest too short,Traditional Vehicle
Passenger seat back feels too hard,Traditional Vehicle
Driver's seat heating warms up too slow,Traditional Vehicle
Driver's seat leg rest support feels too hard,Traditional Vehicle
AC face blow too cool,Traditional Vehicle
Driver's seat back too narrow,Traditional Vehicle
Can AC compressor start,Traditional Vehicle
Can AC compressor close,Traditional Vehicle
Can AC dual zone mode open,Traditional Vehicle
Can AC dual zone mode close,Traditional Vehicle
Can AC three zone mode open,Traditional Vehicle
Can AC four zone mode open,Traditional Vehicle
Can AC sync mode open,Traditional Vehicle
Can driver's AC temperature be increased,Traditional Vehicle
Can driver's AC temperature be set to maximum,Traditional Vehicle
Can driver's AC temperature be set to minimum,Traditional Vehicle
Can passenger's AC temperature be increased,Traditional Vehicle
Can passenger's AC temperature be decreased,Traditional Vehicle
Can passenger's AC temperature be set to highest,Traditional Vehicle
Can passenger's AC temperature be set to lowest,Traditional Vehicle
Can rear AC temperature be set to maximum,Traditional Vehicle
Can front air volume be increased,Traditional Vehicle
Can rear air volume be set to second gear,Traditional Vehicle
Can AC face blow be opened,Traditional Vehicle
Can rear windshield defog be opened,Traditional Vehicle
Can AC face and foot blow be enabled,Traditional Vehicle
Can AC foot and window blow be enabled,Traditional Vehicle
Can AC butler mode be opened,Traditional Vehicle
Can steering wheel heating be closed,Traditional Vehicle
Do not switch steering wheel heating to high gear,Traditional Vehicle
Can driver's seat auto heating be started,Traditional Vehicle
Can driver's seat heating be opened,Traditional Vehicle
Can driver's seat heating be set to high gear,Traditional Vehicle
Can driver's seat heating be set to low gear,Traditional Vehicle
Can driver's seat heating be decreased,Traditional Vehicle
Can passenger's seat heating be opened,Traditional Vehicle
Can passenger's seat heating be set to high gear,Traditional Vehicle
Can passenger's seat heating be increased,Traditional Vehicle
Can rear right seat heating be closed,Traditional Vehicle
Can rear right seat heating be set to medium gear,Traditional Vehicle
Can AC compressor auto start,Traditional Vehicle
Can AC compressor auto close,Traditional Vehicle
Can AC inner circulation be enabled,Traditional Vehicle
Can AC outer circulation be enabled,Traditional Vehicle
Can AC outer circulation be closed,Traditional Vehicle
Can AC auto mode be enabled,Traditional Vehicle
Can AC auto mode be closed,Traditional Vehicle
Can AC energy saving mode be enabled,Traditional Vehicle
Can AC energy saving mode be closed,Traditional Vehicle
Can AC maximum cooling be started,Traditional Vehicle
Can AC maximum heating be started,Traditional Vehicle
Can AC temperature be set to 25 degrees,Traditional Vehicle
Can AC temperature be decreased by two degrees,Traditional Vehicle
Can AC air volume be set to maximum,Traditional Vehicle
Can AC air volume be set to minimum,Traditional Vehicle
Can AC air direction be adjusted to front windshield,Traditional Vehicle
Can AC air direction auto adjust,Traditional Vehicle
Can AC defrost mode be enabled,Traditional Vehicle
Can AC defrost mode be closed,Traditional Vehicle
Can rear AC be enabled,Traditional Vehicle
Can rear AC be closed,Traditional Vehicle
Can rear AC auto enable,Traditional Vehicle
Can driver's air volume be increased,Traditional Vehicle
Can driver's air volume be decreased,Traditional Vehicle
Can passenger's air volume be increased,Traditional Vehicle
Can passenger's air volume be decreased,Traditional Vehicle
Can passenger's air volume be set to maximum,Traditional Vehicle
Can passenger's air volume be set to minimum,Traditional Vehicle
Can rear left air volume be set to third gear,Traditional Vehicle
Can rear right air volume be set to first gear,Traditional Vehicle
Can AC sync mode be closed,Traditional Vehicle
Can AC three zone mode be closed,Traditional Vehicle
Can AC four zone mode be closed,Traditional Vehicle
Can AC foot blow be enabled,Traditional Vehicle
Can AC foot blow be closed,Traditional Vehicle
Can AC face and foot blow be closed,Traditional Vehicle
Can AC foot and window blow be closed,Traditional Vehicle
Can AC butler mode be closed,Traditional Vehicle
Can steering wheel heating be enabled,Traditional Vehicle
Can steering wheel heating be set to medium gear,Traditional Vehicle
Can steering wheel heating be increased,Traditional Vehicle
Can driver's seat heating be closed,Traditional Vehicle
Can driver's seat heating be set to medium gear,Traditional Vehicle
Can driver's seat heating be increased,Traditional Vehicle
Can passenger's seat auto heating be enabled,Traditional Vehicle
Can passenger's seat auto heating be closed,Traditional Vehicle
Can passenger's seat heating be decreased,Traditional Vehicle
Can rear left seat heating be enabled,Traditional Vehicle
Can rear left seat heating be closed,Traditional Vehicle
Can rear left seat heating be set to high gear,Traditional Vehicle
Can rear right seat heating be decreased,Traditional Vehicle
Can rear right seat heating be enabled,Traditional Vehicle
Can all rear seat heating be enabled,Traditional Vehicle
Can all rear seat heating be closed,Traditional Vehicle
Can rear seat ventilation be enabled,Traditional Vehicle
Can driver's seat ventilation be enabled,Traditional Vehicle
Can driver's seat ventilation be set to low gear,Traditional Vehicle
Can passenger's seat ventilation be closed,Traditional Vehicle
Can passenger's seat ventilation be set to high gear,Traditional Vehicle
Can steering wheel ventilation be enabled,Traditional Vehicle
Can AC auto defog be enabled,Traditional Vehicle
Can AC auto defog be closed,Traditional Vehicle
Can AC air purification be enabled,Traditional Vehicle
Can AC air purification be closed,Traditional Vehicle
Can PM2.5 auto filter be enabled,Traditional Vehicle
Can PM2.5 auto filter be closed,Traditional Vehicle
Can AC fragrance be enabled,Traditional Vehicle
Can AC fragrance be closed,Traditional Vehicle
Can AC fragrance be set to second gear,Traditional Vehicle
Can AC fragrance be increased,Traditional Vehicle
Can driver's AC be controlled independently,Traditional Vehicle
Can passenger's AC be controlled independently,Traditional Vehicle
Can rear AC be controlled independently,Traditional Vehicle
Can driver's temperature be set manually,Traditional Vehicle
Can passenger's temperature be set manually,Traditional Vehicle
Can rear temperature be set manually,Traditional Vehicle
Can rear air volume be adjusted manually,Traditional Vehicle
Can front air volume auto adjust,Traditional Vehicle
Can driver's air volume be set to third gear,Traditional Vehicle
Can passenger's air volume be set to fourth gear,Traditional Vehicle
Can rear air volume be set to fifth gear,Traditional Vehicle
Can steering wheel heating adjust gears,Traditional Vehicle
Can steering wheel heating auto enable,Traditional Vehicle
Can steering wheel heating auto close,Traditional Vehicle
Can steering wheel heating switch to medium gear,Traditional Vehicle
Can steering wheel heating be set to highest gear,Traditional Vehicle
Can steering wheel heating be set to lowest gear,Traditional Vehicle
Can driver's seat heating auto enable,Traditional Vehicle
Can driver's seat heating auto close,Traditional Vehicle
Can driver's seat heating adjust gears,Traditional Vehicle
Can driver's seat heating be set to medium gear,Traditional Vehicle
Can driver's seat heating be set to high gear,Traditional Vehicle
